Variable,Count,Mean,Std,Min,25%,50%,75%,Max
HCSNVP_2022-2023,77.0,32.98460363813506,15.230602895438965,3.4809697899,19.597956253,34.410177762,42.703466616,68.579883311
EKW_2022,77.0,14.342824297344489,1.1572443714733214,12.381935327200225,13.52951897346802,14.27459688064038,15.08481793470648,17.33393330705312
HCSRIP_2022-2023,77.0,89.37907600627273,6.606817842074091,72.424320023,85.770339227,90.784832448,94.275618897,98.615401442
HCSWTSP_2022-2023,77.0,73.5245506157922,10.220372706655427,50.658525461,66.10042002,72.464998163,80.410893937,95.712606114
HTJ_2018-2022,77.0,3.3572270055751874,2.38042854591333,0.2627078512358786,1.5367045128172407,2.69750112523051,4.581160178427481,12.657838560456447
LFA_2019,77.0,29.367196669656504,27.02278647449658,0.0015165122300944,5.770261442089801,22.253461700207453,49.14776097214866,99.84786046529788
HCSNSP_2022-2023,77.0,59.56547756605197,17.81000383176789,22.894590772,45.191042887,58.31915608,74.399614369,94.582335434
HCSTLEP_2022-2023,77.0,53.925245055077916,13.153884322506906,26.301227282,44.879460827,53.621528593,60.530931572,88.719634075
EDA_2018-2022,77.0,93.00669651187641,5.934375912777903,76.24310650597438,90.64019834070776,95.49727521919895,97.54111474454623,99.49417635910152
EDB_2018-2022,77.0,85.51103377756957,8.643585651493817,62.8633895195315,79.93162905589475,87.34020138801155,92.05433201665662,98.34598937489106
PCI_2018-2022,77.0,36516.29803281346,20800.583569881313,13127.489948369095,22729.77740051996,29734.970815274864,43890.639410994416,109319.12067575338
LEQ_2018-2022,77.0,6.604704810280652,7.214930904416876,0.0144579948152747,0.6383814827748808,3.8037500066894,10.078647369647344,33.70084189804444
PCT-W_2018-2022,77.0,27.31922875223178,25.77601357326264,0.2385097754737679,4.252667903655764,14.67641194429994,46.67581253118916,83.97329719634673
SLA-S_2018-2022,77.0,36.922616282198575,12.131240275471724,10.966562228480903,27.63169387299063,33.57904740090945,44.83001339440949,71.42671447375892
Store Count,77.0,6.558441558441558,5.2553068579181685,0.0,3.0,4.0,10.0,22.0
Grocery Chain Count,77.0,0.7662337662337663,0.9582893736140881,0.0,0.0,1.0,1.0,5.0
